Step,AgentID,Trust,Group
12,4,0.1399999999999999,B
12,5,0.5399999999999998,A
12,8,0.1399999999999999,B
12,7,0.5399999999999998,A
12,0,0.5,Broker
12,1,0.5399999999999998,A
12,3,0.5399999999999998,A
13,1,0.5099999999999998,A
13,0,0.5,Broker
13,3,0.5099999999999998,A
13,7,0.5099999999999998,A
13,2,0.10999999999999989,B
13,9,0.5099999999999998,A
13,5,0.5099999999999998,A
13,8,0.10999999999999989,B
13,4,0.10999999999999989,B
13,6,0.10999999999999989,B
14,8,0.07999999999999989,B
14,1,0.47999999999999976,A
14,5,0.47999999999999976,A
14,2,0.07999999999999989,B
14,9,0.47999999999999976,A
14,0,0.5,Broker
14,3,0.47999999999999976,A
14,6,0.07999999999999989,B
14,7,0.47999999999999976,A
14,4,0.07999999999999989,B
15,1,0.44999999999999973,A
15,0,0.5,Broker
15,9,0.44999999999999973,A
15,8,0.04999999999999989,B
15,3,0.44999999999999973,A
15,4,0.04999999999999989,B
15,6,0.04999999999999989,B
15,5,0.44999999999999973,A
15,7,0.44999999999999973,A
15,2,0.04999999999999989,B
16,3,0.4199999999999997,A
16,5,0.4199999999999997,A
16,1,0.4199999999999997,A
16,2,0.01999999999999989,B
16,6,0.01999999999999989,B
16,4,0.01999999999999989,B
16,9,0.4199999999999997,A
16,8,0.01999999999999989,B
16,0,0.5,Broker
16,7,0.4199999999999997,A
17,4,0.0,B
17,6,0.0,B
17,9,0.3899999999999997,A
17,3,0.3899999999999997,A
17,7,0.3899999999999997,A
17,0,0.5,Broker
17,8,0.0,B
17,5,0.3899999999999997,A
17,1,0.3899999999999997,A
17,2,0.0,B
18,8,0.0,B
18,3,0.35999999999999965,A
18,6,0.0,B
18,2,0.0,B
18,4,0.0,B
18,5,0.35999999999999965,A
18,1,0.35999999999999965,A
18,0,0.5,Broker
18,7,0.35999999999999965,A
18,9,0.35999999999999965,A
19,3,0.3299999999999996,A
19,5,0.3299999999999996,A
19,4,0.0,B
19,8,0.0,B
19,7,0.3299999999999996,A
19,9,0.3299999999999996,A
19,0,0.5,Broker
19,6,0.0,B
19,2,0.0,B
19,1,0.3299999999999996,A
20,7,0.2999999999999996,A
20,9,0.2999999999999996,A
20,0,0.5,Broker
20,2,0.0,B
20,3,0.2999999999999996,A
20,1,0.2999999999999996,A
20,4,0.0,B
20,5,0.2999999999999996,A
20,6,0.0,B
20,8,0.0,B
21,7,0.2699999999999996,A
21,6,0.0,B
21,3,0.2699999999999996,A
21,9,0.2699999999999996,A
21,2,0.0,B
21,0,0.5,Broker
21,5,0.2699999999999996,A
21,1,0.2699999999999996,A
21,8,0.0,B
21,4,0.0,B
22,2,0.0,B
22,7,0.23999999999999957,A
22,5,0.23999999999999957,A
22,9,0.23999999999999957,A
22,0,0.5,Broker
22,8,0.0,B
22,4,0.0,B
22,6,0.0,B
22,1,0.23999999999999957,A
22,3,0.23999999999999957,A
23,6,0.0,B
23,3,0.20999999999999958,A
23,0,0.5,Broker
23,8,0.0,B
23,9,0.20999999999999958,A
23,5,0.20999999999999958,A
23,1,0.20999999999999958,A
23,4,0.0,B
23,7,0.20999999999999958,A
23,2,0.0,B
24,5,0.17999999999999958,A
24,7,0.17999999999999958,A
24,4,0.0,B
24,8,0.0,B
24,6,0.0,B
24,3,0.17999999999999958,A
24,9,0.17999999999999958,A
24,0,0.5,Broker
24,1,0.17999999999999958,A
24,2,0.0,B
25,8,0.0,B
25,4,0.0,B
25,1,0.14999999999999958,A
25,9,0.14999999999999958,A
25,7,0.14999999999999958,A
25,5,0.14999999999999958,A
25,2,0.0,B
25,3,0.14999999999999958,A
25,0,0.5,Broker
25,6,0.0,B
26,1,0.11999999999999957,A
26,3,0.11999999999999957,A
26,7,0.11999999999999957,A
26,8,0.0,B
26,9,0.11999999999999957,A
26,6,0.0,B
26,2,0.0,B
26,5,0.11999999999999957,A
26,4,0.0,B
26,0,0.5,Broker
27,4,0.0,B
27,7,0.08999999999999957,A
27,1,0.08999999999999957,A
27,0,0.5,Broker
27,9,0.08999999999999957,A
27,3,0.08999999999999957,A
27,6,0.0,B
27,2,0.0,B
27,8,0.0,B
27,5,0.08999999999999957,A
28,0,0.5,Broker
28,7,0.05999999999999957,A
28,1,0.05999999999999957,A
28,8,0.0,B
28,3,0.05999999999999957,A
28,4,0.0,B
28,5,0.05999999999999957,A
28,9,0.05999999999999957,A
28,6,0.0,B
28,2,0.0,B
29,8,0.0,B
29,5,0.029999999999999565,A
29,0,0.5,Broker
29,6,0.0,B
29,2,0.0,B
29,3,0.029999999999999565,A
29,4,0.0,B
29,7,0.029999999999999565,A
29,1,0.029999999999999565,A
29,9,0.029999999999999565,A
30,3,0.0,A
30,1,0.0,A
30,2,0.0,B
30,7,0.0,A
30,4,0.0,B
30,6,0.0,B
30,0,0.5,Broker
30,5,0.0,A
30,9,0.0,A
30,8,0.0,B
